order,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
42,1.18E-177,0.713935629,0.763,0.21,1.65E-173,Act. CD8+,Sh2d1a
43,2.41E-175,0.430058559,0.443,0.075,3.37E-171,Act. CD8+,Abcb9
44,2.81E-174,0.720705066,0.846,0.259,3.93E-170,Act. CD8+,Il2rb
45,1.77E-173,0.803726064,0.393,0.061,2.48E-169,Act. CD8+,Nrgn
46,1.61E-172,0.631004664,0.25,0.024,2.25E-168,Act. CD8+,Serpine2
47,2.90E-168,0.804339706,0.952,0.352,4.06E-164,Act. CD8+,Ltb
48,1.31E-166,0.353298002,0.32,0.041,1.83E-162,Act. CD8+,Zbtb32
49,1.50E-164,-1.647028703,0.994,0.998,2.10E-160,Act. CD8+,Ftl1
50,3.45E-163,0.355484431,0.385,0.062,4.82E-159,Act. CD8+,Atxn1
51,3.56E-163,0.785577032,0.584,0.139,4.98E-159,Act. CD8+,Klrc1
52,3.11E-157,0.380417962,0.324,0.046,4.35E-153,Act. CD8+,2310031A07Rik
53,9.31E-157,0.743611286,1,0.924,1.30E-152,Act. CD8+,Rac2
54,2.62E-152,0.382164966,0.412,0.073,3.67E-148,Act. CD8+,Cers4
55,3.25E-152,0.919653665,0.622,0.168,4.55E-148,Act. CD8+,Tnfrsf9
56,3.20E-151,1.019802278,0.956,0.482,4.48E-147,Act. CD8+,Ms4a4b
57,1.91E-149,0.579486598,0.694,0.203,2.67E-145,Act. CD8+,Grap
58,1.91E-148,0.577273552,1,0.999,2.67E-144,Act. CD8+,Rps15a
59,6.11E-148,0.654075034,0.936,0.347,8.55E-144,Act. CD8+,1-Sep
60,1.74E-147,0.423243846,0.47,0.095,2.43E-143,Act. CD8+,Bcl11b
61,1.27E-144,0.30224196,0.316,0.046,1.78E-140,Act. CD8+,Ubash3a
62,3.06E-144,0.58571357,0.78,0.251,4.27E-140,Act. CD8+,Ets1
63,8.78E-144,0.342842772,0.303,0.043,1.23E-139,Act. CD8+,2900026A02Rik
64,9.43E-144,0.708844108,0.965,0.379,1.32E-139,Act. CD8+,Gimap4
65,1.21E-142,0.306693828,0.385,0.067,1.69E-138,Act. CD8+,Camk4
66,1.54E-140,-1.967651428,0.771,0.88,2.15E-136,Act. CD8+,Psap
67,5.71E-140,0.496845244,0.197,0.018,7.98E-136,Act. CD8+,Nrn1
68,7.83E-139,0.780941874,0.967,0.502,1.09E-134,Act. CD8+,Hcst
69,3.12E-138,0.680551704,0.871,0.314,4.36E-134,Act. CD8+,Ctsw
70,4.06E-138,0.478217687,1,0.999,5.68E-134,Act. CD8+,Rplp0
71,4.30E-138,0.574939176,0.482,0.107,6.01E-134,Act. CD8+,Cd160
72,1.62E-136,0.414080431,0.472,0.103,2.27E-132,Act. CD8+,Cd96
73,5.57E-136,0.57255819,0.863,0.298,7.78E-132,Act. CD8+,Gimap3
74,5.86E-135,0.598944507,0.84,0.309,8.19E-131,Act. CD8+,Tbc1d10c
75,4.58E-134,0.44492513,0.545,0.133,6.41E-130,Act. CD8+,Klk8
76,1.77E-133,-1.51721343,0.102,0.685,2.47E-129,Act. CD8+,Ctsh
77,9.16E-133,-1.896669735,0.724,0.869,1.28E-128,Act. CD8+,Ctss
78,1.17E-132,-1.723550316,0.106,0.675,1.64E-128,Act. CD8+,Alox5ap
79,8.58E-131,-2.517689314,0.57,0.845,1.20E-126,Act. CD8+,Cd74
80,2.35E-129,-3.104747636,0.576,0.855,3.29E-125,Act. CD8+,Lyz2
81,2.57E-129,-1.461048782,0.36,0.767,3.59E-125,Act. CD8+,Ctsz
82,2.06E-128,-1.504346335,0.096,0.665,2.88E-124,Act. CD8+,Spi1
83,3.21E-128,-1.52831155,0.067,0.645,4.49E-124,Act. CD8+,Ly86
84,9.36E-128,0.500031426,1,0.998,1.31E-123,Act. CD8+,Rpsa
85,5.32E-127,-2.574208237,0.366,0.762,7.44E-123,Act. CD8+,Ifitm3
86,1.27E-126,0.768121648,0.998,0.771,1.78E-122,Act. CD8+,AW112010
87,6.52E-126,-1.557921817,0.701,0.842,9.12E-122,Act. CD8+,Gpx1
88,3.68E-124,1.231745757,0.94,0.576,5.14E-120,Act. CD8+,Ccl5
89,1.26E-123,0.657357296,0.628,0.202,1.76E-119,Act. CD8+,Dut
90,2.81E-121,0.521657175,0.817,0.282,3.93E-117,Act. CD8+,Skap1
91,2.38E-120,0.408805672,0.559,0.154,3.33E-116,Act. CD8+,Rhof
92,1.14E-118,0.463364792,1,0.992,1.60E-114,Act. CD8+,Rpl27
93,4.68E-118,-1.953540141,0.85,0.894,6.55E-114,Act. CD8+,Cst3
94,6.56E-118,0.638145669,0.788,0.286,9.18E-114,Act. CD8+,Ctla2a
95,6.76E-118,-1.558424764,0.318,0.733,9.46E-114,Act. CD8+,H2-DMa
96,7.27E-118,0.451754759,0.395,0.083,1.02E-113,Act. CD8+,Icos
97,2.05E-117,1.716393721,0.69,0.276,2.86E-113,Act. CD8+,Ccl4
98,1.43E-116,0.357175948,1,1,2.01E-112,Act. CD8+,Rps13
99,3.96E-115,-1.924898026,0.245,0.697,5.54E-111,Act. CD8+,Ifitm2
100,2.65E-114,0.343049922,0.47,0.115,3.70E-110,Act. CD8+,Itk
101,3.72E-114,0.291764661,0.322,0.06,5.21E-110,Act. CD8+,Gpr68
102,4.79E-114,0.467786748,1,1,6.69E-110,Act. CD8+,Rpl13a
103,5.01E-113,0.392584629,0.435,0.107,7.01E-109,Act. CD8+,Cd226
104,1.71E-112,-1.846954113,0.116,0.632,2.39E-108,Act. CD8+,Ms4a6c
105,1.50E-111,-1.243448411,0.079,0.617,2.10E-107,Act. CD8+,Pld4
106,7.99E-111,-1.468203022,0.314,0.717,1.12E-106,Act. CD8+,Ifi30
107,1.90E-109,-1.123723872,0.191,0.662,2.65E-105,Act. CD8+,Unc93b1
108,7.14E-109,0.496269059,0.563,0.177,9.99E-105,Act. CD8+,Rpa2
109,1.80E-108,0.49932019,0.89,0.354,2.52E-104,Act. CD8+,Gimap6
110,4.91E-108,0.647211912,0.786,0.317,6.87E-104,Act. CD8+,Tnfrsf18
111,2.16E-107,-1.674739021,0.096,0.616,3.02E-103,Act. CD8+,H2-DMb1
112,4.04E-107,0.439435101,0.778,0.28,5.65E-103,Act. CD8+,Gimap5
113,4.17E-107,-1.143092772,0.996,0.998,5.83E-103,Act. CD8+,Fth1
114,1.75E-106,-1.512417842,0.087,0.596,2.45E-102,Act. CD8+,Fcgr3
115,3.08E-106,0.369497425,1,1,4.31E-102,Act. CD8+,Rpl32
116,6.04E-106,0.551340889,0.823,0.382,8.44E-102,Act. CD8+,Rinl
117,8.74E-106,-1.812561134,0.119,0.619,1.22E-101,Act. CD8+,Wfdc17
118,2.32E-105,0.783101189,0.973,0.915,3.25E-101,Act. CD8+,Lgals1
119,7.06E-105,0.431560322,0.513,0.151,9.88E-101,Act. CD8+,D16Ertd472e
120,3.45E-104,0.260860924,0.295,0.053,4.82E-100,Act. CD8+,F2r
121,7.89E-104,-0.990367695,0.154,0.637,1.10E-99,Act. CD8+,Irf5
122,1.14E-103,-1.07630417,0.066,0.579,1.60E-99,Act. CD8+,Mpeg1
123,1.41E-102,0.582735028,0.834,0.384,1.97E-98,Act. CD8+,Cd82
124,2.70E-102,0.576920751,0.751,0.325,3.78E-98,Act. CD8+,Ifi27
125,2.54E-101,0.261702297,0.331,0.068,3.56E-97,Act. CD8+,Slc2a3
126,1.30E-100,-2.338401824,0.543,0.789,1.82E-96,Act. CD8+,H2-Ab1
127,1.46E-100,-1.207293356,0.083,0.581,2.04E-96,Act. CD8+,Plbd1
128,1.72E-100,0.449691902,1,0.983,2.40E-96,Act. CD8+,Coro1a
129,2.98E-100,-2.393855934,0.216,0.653,4.17E-96,Act. CD8+,Ccl6
130,3.18E-100,-1.143509712,0.472,0.766,4.44E-96,Act. CD8+,Lamp1
131,3.65E-100,0.450582359,0.372,0.091,5.11E-96,Act. CD8+,Havcr2
132,7.18E-100,-1.314988504,0.216,0.649,1.00E-95,Act. CD8+,Cd68
133,1.15E-99,0.278347961,0.395,0.096,1.60E-95,Act. CD8+,Xlr4b
134,1.20E-99,0.507795176,0.726,0.306,1.68E-95,Act. CD8+,Ptpn22
135,2.30E-99,0.384552768,1,0.999,3.21E-95,Act. CD8+,Rpl39
136,7.82E-99,0.561515404,0.971,0.76,1.09E-94,Act. CD8+,Cnn2
137,1.10E-98,0.466646192,0.547,0.168,1.53E-94,Act. CD8+,Il18r1
138,1.14E-98,-1.510414808,0.066,0.561,1.59E-94,Act. CD8+,Tgfbi
139,3.37E-98,0.476923208,0.996,0.954,4.71E-94,Act. CD8+,Myl12a
140,4.74E-98,-1.693374164,0.118,0.592,6.63E-94,Act. CD8+,Aif1
141,5.64E-98,-2.334536156,0.435,0.742,7.89E-94,Act. CD8+,H2-Aa
142,1.57E-97,-0.940955012,0.044,0.541,2.20E-93,Act. CD8+,Pirb
143,1.98E-97,-0.881072229,0.491,0.809,2.78E-93,Act. CD8+,Ier5
144,6.84E-97,0.52866956,0.994,0.955,9.56E-93,Act. CD8+,Eef2
145,7.59E-97,-1.267083101,0.231,0.65,1.06E-92,Act. CD8+,Grn
146,2.39E-96,0.413528566,0.622,0.209,3.34E-92,Act. CD8+,S1pr4
147,1.93E-95,0.367793751,1,0.998,2.71E-91,Act. CD8+,Rpl4
148,2.55E-95,0.431914336,0.549,0.173,3.57E-91,Act. CD8+,Phgdh
149,1.02E-94,0.295259219,0.414,0.105,1.43E-90,Act. CD8+,Ppp1r16b
150,1.79E-94,0.437028403,0.622,0.221,2.50E-90,Act. CD8+,Spn
151,3.89E-94,0.350056044,0.52,0.155,5.44E-90,Act. CD8+,Sla2
152,5.69E-94,-1.225691636,0.073,0.556,7.96E-90,Act. CD8+,Cybb
153,1.38E-93,0.580491332,0.902,0.608,1.93E-89,Act. CD8+,Anxa6
154,4.11E-93,0.413193689,0.566,0.194,5.75E-89,Act. CD8+,Prkch
155,7.20E-93,0.558506367,0.632,0.248,1.01E-88,Act. CD8+,Dnajc9
156,9.68E-93,-1.270129271,0.064,0.545,1.35E-88,Act. CD8+,Fcgr2b
157,1.00E-92,0.323651424,0.407,0.109,1.40E-88,Act. CD8+,Stk39
158,4.31E-92,0.310341757,1,0.999,6.03E-88,Act. CD8+,Rps10
159,9.96E-92,0.318680576,1,1,1.39E-87,Act. CD8+,Eef1a1
160,1.01E-91,-1.113271307,0.179,0.62,1.41E-87,Act. CD8+,Metrnl
161,1.39E-91,0.288412336,0.22,0.034,1.95E-87,Act. CD8+,Izumo1r
162,3.06E-91,0.300186372,1,0.999,4.28E-87,Act. CD8+,Rpl24
163,5.43E-91,-0.863965871,0.075,0.547,7.59E-87,Act. CD8+,Csf2ra
164,7.26E-91,0.423818816,0.324,0.073,1.02E-86,Act. CD8+,Nr4a2
165,8.94E-91,-0.877925617,0.062,0.541,1.25E-86,Act. CD8+,Ncf2
166,2.49E-90,0.275427974,0.405,0.104,3.48E-86,Act. CD8+,Tbx21
167,3.14E-90,0.342533284,0.47,0.133,4.39E-86,Act. CD8+,Gm19585
168,1.60E-89,0.290682018,0.439,0.12,2.24E-85,Act. CD8+,Prkcq
169,2.59E-89,0.581659662,0.873,0.566,3.63E-85,Act. CD8+,B4galnt1
170,3.97E-88,-0.529343854,0.996,0.991,5.56E-84,Act. CD8+,H3f3a
171,5.61E-88,-2.229872206,0.347,0.683,7.84E-84,Act. CD8+,H2-Eb1
172,1.57E-87,-1.515313203,0.171,0.587,2.20E-83,Act. CD8+,Naaa
173,4.05E-87,0.359905328,1,1,5.66E-83,Act. CD8+,Rpl41
174,5.02E-87,0.346478803,1,0.991,7.02E-83,Act. CD8+,Rpl12
175,5.13E-87,0.361261793,1,0.996,7.17E-83,Act. CD8+,Rpl3
176,5.74E-87,0.260217658,0.283,0.058,8.03E-83,Act. CD8+,Bspry
177,6.98E-87,0.408049192,0.497,0.161,9.76E-83,Act. CD8+,Mcm6
178,1.42E-86,-0.874614487,0.193,0.613,1.98E-82,Act. CD8+,Tpd52
179,5.63E-86,-1.342085227,0.291,0.684,7.88E-82,Act. CD8+,Fos
180,1.88E-85,0.493619062,0.613,0.229,2.63E-81,Act. CD8+,Dusp2
181,2.42E-85,0.293151534,1,1,3.39E-81,Act. CD8+,Rpl17
182,2.54E-85,0.335195106,0.676,0.243,3.55E-81,Act. CD8+,Gimap9
183,8.77E-85,-1.207908974,0.062,0.514,1.23E-80,Act. CD8+,Ifi204
184,4.01E-84,-1.025740042,0.241,0.655,5.61E-80,Act. CD8+,Jun
185,1.28E-83,-0.548600875,0.948,0.945,1.79E-79,Act. CD8+,Gabarap
186,1.55E-83,-0.987215797,0.06,0.513,2.17E-79,Act. CD8+,Marcks
187,2.23E-83,-0.7792059,0.048,0.502,3.11E-79,Act. CD8+,Rassf4
188,2.87E-83,0.526825729,0.956,0.717,4.02E-79,Act. CD8+,Limd2
189,7.30E-83,-1.364593226,0.048,0.494,1.02E-78,Act. CD8+,Fcgr1
190,1.84E-82,0.333133314,0.994,0.992,2.57E-78,Act. CD8+,Naca
191,2.02E-82,0.265912567,1,1,2.82E-78,Act. CD8+,Rpl11
192,2.17E-82,0.2669814,0.299,0.065,3.04E-78,Act. CD8+,Prf1
193,3.89E-82,-1.538258733,0.079,0.52,5.43E-78,Act. CD8+,Lgmn
194,6.23E-82,-0.951024022,0.054,0.5,8.71E-78,Act. CD8+,Clec12a
195,1.02E-81,-0.606202259,0.744,0.857,1.43E-77,Act. CD8+,Atp6v1g1
196,1.06E-81,0.304502444,0.468,0.149,1.49E-77,Act. CD8+,Psph
197,1.24E-81,-1.020416448,0.05,0.494,1.73E-77,Act. CD8+,Pid1
198,1.46E-81,1.619430294,0.541,0.211,2.05E-77,Act. CD8+,Ccl3
199,1.73E-81,0.258432289,0.358,0.093,2.42E-77,Act. CD8+,Fam92a
200,5.84E-81,-0.941644913,0.262,0.654,8.17E-77,Act. CD8+,Zfp36
201,1.12E-80,-1.099947807,0.052,0.492,1.57E-76,Act. CD8+,Clec4a3
202,1.82E-80,0.303180303,1,0.995,2.54E-76,Act. CD8+,Rpl7a
203,2.92E-80,0.67779453,0.931,0.788,4.09E-76,Act. CD8+,Rpl29
204,2.96E-80,-0.804329157,0.123,0.544,4.15E-76,Act. CD8+,Lyn
205,3.55E-80,-1.660825757,0.16,0.583,4.96E-76,Act. CD8+,Ccl9
206,5.73E-80,0.40444528,0.981,0.946,8.01E-76,Act. CD8+,Eif3h
207,1.27E-79,0.283261078,0.549,0.185,1.78E-75,Act. CD8+,Acap1
208,3.13E-79,-1.015574836,0.071,0.507,4.38E-75,Act. CD8+,Cfp
209,3.86E-79,-0.774587975,0.227,0.617,5.40E-75,Act. CD8+,Nrros
210,1.39E-78,0.335380145,0.524,0.181,1.94E-74,Act. CD8+,Rasal3
211,1.62E-78,0.776126485,0.778,0.42,2.27E-74,Act. CD8+,Klrd1
212,5.26E-78,-0.728296771,0.042,0.477,7.35E-74,Act. CD8+,App
213,5.27E-78,0.27546107,0.368,0.097,7.37E-74,Act. CD8+,Fasl
214,1.30E-76,0.511982671,0.956,0.847,1.82E-72,Act. CD8+,Gmfg
215,1.62E-76,0.454569013,0.948,0.819,2.27E-72,Act. CD8+,Gm8730
216,2.16E-76,-0.754843815,0.044,0.474,3.02E-72,Act. CD8+,Lrrc25
217,3.12E-76,0.352653677,0.491,0.173,4.36E-72,Act. CD8+,2010111I01Rik
218,4.74E-76,0.503322643,0.913,0.632,6.63E-72,Act. CD8+,Saraf
219,6.19E-76,-0.785837103,0.256,0.626,8.65E-72,Act. CD8+,Hexa
220,1.51E-75,0.280642902,0.356,0.099,2.12E-71,Act. CD8+,Osbpl3
221,1.60E-75,0.308918414,0.439,0.139,2.24E-71,Act. CD8+,Cblb
222,2.60E-75,0.279322764,0.316,0.078,3.64E-71,Act. CD8+,Mgst2
223,2.70E-75,0.276982796,1,0.998,3.77E-71,Act. CD8+,Rpl7
224,3.43E-75,0.325642348,1,0.997,4.79E-71,Act. CD8+,Rpl10a
225,4.03E-75,0.329266619,0.996,0.993,5.63E-71,Act. CD8+,Myl6
226,4.11E-75,-0.67370828,0.218,0.597,5.75E-71,Act. CD8+,Stx7
227,4.80E-75,0.308005356,1,0.999,6.71E-71,Act. CD8+,Rps18
228,9.48E-75,-1.330627183,0.166,0.544,1.33E-70,Act. CD8+,Lst1
229,1.48E-74,0.274275187,0.586,0.214,2.06E-70,Act. CD8+,Serpinb6b
230,1.95E-74,0.285221207,1,0.999,2.73E-70,Act. CD8+,Rpl34
231,3.43E-74,-0.706714459,0.229,0.604,4.80E-70,Act. CD8+,Skap2
232,3.67E-74,-0.647333344,0.125,0.536,5.14E-70,Act. CD8+,Rnf130
233,8.48E-74,-0.718650754,0.04,0.455,1.19E-69,Act. CD8+,BC028528
234,1.08E-73,-1.002140981,0.056,0.47,1.52E-69,Act. CD8+,Clec4a1
235,1.14E-73,-0.873590641,0.054,0.469,1.59E-69,Act. CD8+,AF251705
236,2.26E-73,0.263618107,0.283,0.065,3.16E-69,Act. CD8+,Rora
237,3.35E-72,-0.765203789,0.056,0.467,4.68E-68,Act. CD8+,Hck
238,4.56E-72,-0.787534137,0.526,0.753,6.38E-68,Act. CD8+,Serp1
239,8.82E-72,0.364304913,1,0.999,1.23E-67,Act. CD8+,Rps2
240,9.36E-72,0.320561913,0.426,0.134,1.31E-67,Act. CD8+,Prkca
241,1.27E-71,-0.603997411,0.039,0.452,1.78E-67,Act. CD8+,Ifngr2
242,3.40E-71,-0.712664263,0.528,0.756,4.76E-67,Act. CD8+,Bri3
243,4.44E-71,0.306561647,0.447,0.148,6.22E-67,Act. CD8+,Inpp1
244,2.12E-70,0.502742105,0.832,0.566,2.96E-66,Act. CD8+,Ech1
245,2.33E-70,0.524474023,0.94,0.811,3.26E-66,Act. CD8+,Arl6ip1
246,2.34E-70,0.26769513,1,0.999,3.28E-66,Act. CD8+,Rps15
247,3.77E-70,0.479096861,0.869,0.61,5.27E-66,Act. CD8+,Slc25a4
248,6.21E-70,0.252977775,0.299,0.077,8.68E-66,Act. CD8+,Smco4
249,6.89E-70,-0.686576388,0.042,0.44,9.64E-66,Act. CD8+,Sirpa
250,1.14E-69,0.267957464,0.568,0.203,1.59E-65,Act. CD8+,Ablim1
251,1.39E-69,-0.762104092,0.046,0.446,1.94E-65,Act. CD8+,AI607873
252,2.03E-69,-0.769304855,0.649,0.79,2.84E-65,Act. CD8+,Sdcbp
253,2.42E-69,-0.784031383,0.867,0.865,3.38E-65,Act. CD8+,Atox1
254,2.86E-69,-1.027952692,0.451,0.716,4.01E-65,Act. CD8+,Ccr2
255,3.22E-69,-0.618290748,0.077,0.474,4.51E-65,Act. CD8+,Plekho1
256,6.80E-69,-1.305649136,0.372,0.678,9.51E-65,Act. CD8+,Ms4a4c
257,8.40E-69,0.375036993,0.64,0.281,1.17E-64,Act. CD8+,Traf3ip3
258,2.36E-68,0.409220568,0.669,0.308,3.30E-64,Act. CD8+,Fam107b
259,2.50E-68,0.414855944,0.734,0.361,3.50E-64,Act. CD8+,Pld3
260,3.52E-68,-0.825188285,0.042,0.438,4.92E-64,Act. CD8+,Csf1r
261,4.16E-68,-0.984125721,0.048,0.444,5.82E-64,Act. CD8+,Clec4a2
262,5.37E-68,0.504221679,0.599,0.247,7.51E-64,Act. CD8+,Cxcr3
263,9.09E-68,0.478342405,0.985,0.726,1.27E-63,Act. CD8+,H2-Q7
264,1.17E-67,0.710718638,0.871,0.694,1.64E-63,Act. CD8+,Sdf4
265,1.28E-67,-0.880291556,0.245,0.591,1.79E-63,Act. CD8+,Zeb2
266,1.51E-67,0.250814592,1,0.999,2.11E-63,Act. CD8+,Rpl6
267,1.64E-67,0.404940933,0.992,0.926,2.30E-63,Act. CD8+,Rpl22l1
268,1.71E-67,0.2535115,0.364,0.105,2.39E-63,Act. CD8+,Gata3
269,3.35E-67,-0.749718806,0.035,0.428,4.69E-63,Act. CD8+,Cd300a
270,3.43E-67,0.265285348,0.391,0.123,4.79E-63,Act. CD8+,Rcn1
271,5.42E-67,-0.795769504,0.208,0.566,7.58E-63,Act. CD8+,Prkcd
272,1.40E-66,0.253810976,0.343,0.099,1.96E-62,Act. CD8+,Hdac7
273,2.31E-66,0.280812204,1,0.994,3.23E-62,Act. CD8+,Gnb2l1
274,1.55E-65,0.411018294,0.992,0.948,2.16E-61,Act. CD8+,Shisa5
275,1.59E-65,-1.164974468,0.287,0.597,2.22E-61,Act. CD8+,Lilrb4a
276,2.04E-65,-0.645676672,0.079,0.458,2.85E-61,Act. CD8+,Tmem106a
277,2.17E-65,-1.356689223,0.593,0.732,3.03E-61,Act. CD8+,Ctsc
278,2.88E-65,-0.602093591,0.058,0.44,4.03E-61,Act. CD8+,Kctd12
279,4.72E-65,0.284551885,1,0.999,6.60E-61,Act. CD8+,Rps20
280,5.99E-65,0.304389951,0.998,0.993,8.37E-61,Act. CD8+,Rps21
281,1.13E-64,-1.002822445,0.836,0.857,1.57E-60,Act. CD8+,Prdx5
282,1.15E-63,-0.716688707,0.491,0.72,1.60E-59,Act. CD8+,Rrbp1
283,3.11E-63,-0.933607156,0.214,0.552,4.35E-59,Act. CD8+,Plin2
284,3.18E-63,-0.770897199,0.04,0.417,4.45E-59,Act. CD8+,Gda
285,3.30E-63,-0.692571927,0.039,0.415,4.61E-59,Act. CD8+,Sdc3
286,3.89E-63,-0.940143958,0.025,0.4,5.44E-59,Act. CD8+,Sirpb1c
287,4.09E-63,0.306422721,0.439,0.154,5.72E-59,Act. CD8+,Agpat3
288,8.62E-63,0.369259241,0.62,0.283,1.21E-58,Act. CD8+,Def6
289,8.64E-63,0.262183082,0.418,0.139,1.21E-58,Act. CD8+,Abhd8
290,1.48E-62,0.484696926,0.676,0.364,2.08E-58,Act. CD8+,Batf
291,2.37E-62,0.345526183,0.657,0.303,3.32E-58,Act. CD8+,Itgal
292,4.14E-62,-0.692237275,0.95,0.934,5.80E-58,Act. CD8+,Npc2
293,7.46E-62,-0.791918974,0.254,0.566,1.04E-57,Act. CD8+,Ccdc109b
294,1.04E-61,-0.846311026,0.064,0.431,1.46E-57,Act. CD8+,Slamf8
295,1.95E-61,0.276316504,0.212,0.045,2.72E-57,Act. CD8+,Crtam
296,1.99E-61,-0.681618539,0.048,0.416,2.79E-57,Act. CD8+,Itgam
297,2.11E-61,0.26046162,1,1,2.96E-57,Act. CD8+,Rpl37
298,2.61E-61,0.287933392,0.998,0.998,3.65E-57,Act. CD8+,Rps12
299,3.68E-61,0.251470127,0.372,0.118,5.15E-57,Act. CD8+,Il18rap
300,4.31E-61,0.405266445,0.938,0.825,6.03E-57,Act. CD8+,Uba52
301,4.63E-61,-1.053044273,0.025,0.393,6.47E-57,Act. CD8+,Tppp3
302,5.31E-61,0.438931564,0.782,0.457,7.43E-57,Act. CD8+,Stk17b
303,1.39E-60,0.284684962,1,0.996,1.94E-56,Act. CD8+,Rpl36
304,1.84E-60,-0.727623196,0.644,0.775,2.57E-56,Act. CD8+,Anxa5
305,1.98E-60,0.385430557,1,0.992,2.76E-56,Act. CD8+,Cd52
306,3.05E-60,-0.664913886,0.052,0.421,4.26E-56,Act. CD8+,Aldh2
307,3.08E-60,0.25305735,1,0.998,4.30E-56,Act. CD8+,Rpl30
308,3.51E-60,0.318644313,1,0.998,4.91E-56,Act. CD8+,Actg1
309,1.54E-59,0.372604073,0.985,0.85,2.16E-55,Act. CD8+,Gltscr2
310,2.12E-59,-2.188075062,0.114,0.466,2.96E-55,Act. CD8+,Apoe
311,2.25E-59,0.44563225,0.707,0.368,3.15E-55,Act. CD8+,Rilpl2
312,2.43E-59,-0.745409507,0.185,0.542,3.39E-55,Act. CD8+,Anxa1
313,2.51E-59,-0.495941919,0.05,0.41,3.51E-55,Act. CD8+,Fes
314,5.72E-59,-0.800738573,0.044,0.409,8.00E-55,Act. CD8+,Rnase6
315,1.26E-58,0.338297101,0.605,0.278,1.76E-54,Act. CD8+,Eva1b
316,3.08E-58,-0.551522285,0.039,0.392,4.31E-54,Act. CD8+,Tifab
317,4.97E-58,0.380119612,0.586,0.284,6.96E-54,Act. CD8+,Ndfip2
318,5.32E-58,-1.95207941,0.123,0.468,7.43E-54,Act. CD8+,Ccl2
319,7.66E-58,0.423588243,0.879,0.577,1.07E-53,Act. CD8+,Pla2g16
